team,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38
Manchester City,13,9,7,5,5,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liverpool,3,3,5,3,2,1,2,2,2,2,4,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chelsea,2,2,4,2,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tottenham Hotspur,10,5,1,7,7,11,8,5,6,9,9,7,7,6,5,7,7,7,5,7,6,5,7,7,8,8,7,7,7,5,4,4,4,5,5,5,4,4
Arsenal,17,19,20,16,13,10,11,12,10,6,5,5,5,5,7,6,4,4,4,4,5,6,6,5,6,5,6,4,4,4,5,5,5,4,4,4,5,5
Manchester United,1,6,3,1,3,4,4,6,7,5,6,8,8,7,6,5,6,6,7,6,7,7,4,6,4,4,4,5,5,6,7,7,6,6,6,6,6,6
West Ham United,4,1,2,8,8,7,9,7,4,4,3,4,4,4,4,4,5,5,6,5,4,4,5,4,5,6,5,6,6,7,6,6,7,7,7,7,7,7
Leicester City,9,12,9,9,12,13,13,11,9,11,12,12,10,10,11,8,9,9,10,9,10,10,10,12,11,12,12,12,12,10,10,9,9,10,11,10,9,8
Brighton,8,4,8,6,4,6,6,4,5,8,7,9,9,9,9,11,13,13,9,10,9,9,9,9,9,9,10,13,13,13,13,11,10,11,9,9,10,9
Wolverhampton,14,16,18,13,16,14,12,10,11,7,8,6,6,8,8,9,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,10
Newcastle United,15,18,17,19,18,17,19,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,17,17,17,14,14,14,14,15,15,11,9,10,14,12,11
Crystal Palace,18,14,14,11,14,15,14,14,15,13,10,10,11,11,14,12,11,11,12,11,12,11,13,13,13,11,11,11,11,12,9,10,14,14,12,11,13,12
Brentford,6,8,10,10,9,9,7,9,12,12,14,14,12,12,13,10,12,12,13,14,13,14,14,14,14,14,15,15,15,15,14,13,12,12,14,13,11,13
Aston Villa,11,10,11,12,10,8,10,13,13,15,16,15,13,13,10,13,10,10,11,12,14,13,11,11,12,13,13,9,9,9,11,12,15,15,13,12,14,14
Southampton,16,13,13,14,15,16,17,15,16,14,13,13,15,16,16,16,15,15,14,13,11,12,12,10,10,10,9,10,10,11,12,14,13,13,15,15,15,15
Everton,5,7,6,4,6,5,5,8,8,10,11,11,14,14,12,14,14,14,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,18,18,16,16,16
Leeds United,20,15,15,17,17,18,16,17,17,17,15,17,17,15,15,15,16,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,17,18,18,17
Burnley,12,17,16,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,18,18,18,19,19,18,18,18,17,16,17,17,18
Watford,7,11,12,15,11,12,15,16,14,16,17,16,16,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19
Norwich City,19,20,19,20,20,20,20,20,20,20,20,19,19,19,20,20,20,20,20,20,20,18,17,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20
