team,rank_total,points_total,match_total,won_total,drawn_total,lost_total,goal_for_total,goal_against_total,goal_difference_total,rank_home,points_home,match_home,won_home,drawn_home,lost_home,goal_for_home,goal_against_home,goal_difference_home,rank_away,points_away,match_away,won_away,drawn_away,lost_away,goal_for_away,goal_against_away,goal_difference_away
Manchester City,1,93,38,29,6,3,99,26,73,2,47,19,15,2,2,58,15,43,1,46,19,14,4,1,41,11,30
Liverpool,2,92,38,28,8,2,94,26,68,1,49,19,15,4,0,49,9,40,2,43,19,13,4,2,45,17,28
Chelsea,3,74,38,21,11,6,76,33,43,6,34,19,9,7,3,37,22,15,3,40,19,12,4,3,39,11,28
Tottenham Hotspur,4,71,38,22,5,11,69,40,29,4,40,19,13,1,5,38,19,19,4,31,19,9,4,6,31,21,10
Arsenal,5,69,38,22,3,13,61,48,13,3,41,19,13,2,4,35,17,18,6,28,19,9,1,9,26,31,-5
Manchester United,6,58,38,16,10,12,57,57,0,5,35,19,10,5,4,32,22,10,9,23,19,6,5,8,25,35,-10
West Ham United,7,56,38,16,8,14,60,51,9,8,32,19,9,5,5,33,26,7,8,24,19,7,3,9,27,25,2
Leicester City,8,52,38,14,10,14,62,59,3,7,34,19,10,4,5,34,23,11,15,18,19,4,6,9,28,36,-8
Brighton & Hove Albion,9,51,38,12,15,11,42,44,-2,16,22,19,5,7,7,19,23,-4,5,29,19,7,8,4,23,21,2
Wolverhampton,10,51,38,15,6,17,38,43,-5,14,24,19,7,3,9,20,25,-5,7,27,19,8,3,8,18,18,0
Newcastle United,11,49,38,13,10,15,44,62,-18,9,30,19,8,6,5,26,27,-1,14,19,19,5,4,10,18,35,-17
Crystal Palace,12,48,38,11,15,12,50,46,4,10,29,19,7,8,4,27,17,10,13,19,19,4,7,8,23,29,-6
Brentford,13,46,38,13,7,18,48,56,-8,13,24,19,7,3,9,22,21,1,11,22,19,6,4,9,26,35,-9
Aston Villa,14,45,38,13,6,19,52,54,-2,15,23,19,6,5,8,29,29,0,10,22,19,7,1,11,23,25,-2
Southampton,15,40,38,9,13,16,43,67,-24,12,25,19,6,7,6,23,24,-1,17,15,19,3,6,10,20,43,-23
Everton,16,39,38,11,6,21,43,66,-23,11,29,19,9,2,8,27,25,2,19,10,19,2,4,13,16,41,-25
Leeds United,17,38,38,9,11,18,42,79,-37,18,18,19,4,6,9,19,38,-19,12,20,19,5,5,9,23,41,-18
Burnley,18,35,38,7,14,17,34,53,-19,17,21,19,5,6,8,18,25,-7,18,14,19,2,8,9,16,28,-12
Watford,19,23,38,6,5,27,34,77,-43,20,8,19,2,2,15,17,46,-29,16,15,19,4,3,12,17,31,-14
Norwich City,20,22,38,5,7,26,23,84,-61,19,12,19,3,3,13,12,43,-31,20,10,19,2,4,13,11,41,-30
